n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,10,10,MM,0.0008271000115200877,True,0.2704493417556814,-1.4419074742350864,0.3736402734017044,0.15353739124144267,0.24375365317101935,-0.22955065824431858,-1.4419074742350864,-0.12635972659829559,-0.8464626087585574,-0.7562463468289806,0.22955065824431858,1.4419074742350864,0.12635972659829559,0.8464626087585574,0.7562463468289806
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,10,10,MLE,0.21273979998659343,True,0.2844113695374514,-1.384327433058434,0.3861786360036377,0.2143936402023937,0.23863682048132212,-0.2155886304625486,-1.384327433058434,-0.11382136399636228,-0.7856063597976063,-0.7613631795186779,0.2155886304625486,1.384327433058434,0.11382136399636228,0.7856063597976063,0.7613631795186779
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,11,11,MM,0.0013795000268146396,True,0.5014511826769484,-0.9192943763028253,1.0074913382277215,0.2935179402697157,0.10372748103750225,0.001451182676948437,-0.9192943763028253,0.5074913382277215,-0.7064820597302843,-0.8962725189624977,0.001451182676948437,0.9192943763028253,0.5074913382277215,0.7064820597302843,0.8962725189624977
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,11,11,MLE,0.13504109997302294,True,0.5176303875828124,-0.8850567407358922,1.0353774653186147,0.31512655834680603,0.08919821225792397,0.017630387582812435,-0.8850567407358922,0.5353774653186147,-0.684873441653194,-0.910801787742076,0.017630387582812435,0.8850567407358922,0.5353774653186147,0.684873441653194,0.910801787742076
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,12,12,MM,0.0015092999674379826,False,,,,,,,,,,,,,,,
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,12,12,MLE,0.3384925000136718,True,0.7325349433698957,-0.25236457393545825,1.1773700645312795,0.23259149770027926,0.22981060355842745,0.23253494336989566,-0.25236457393545825,0.6773700645312795,-0.7674085022997208,-0.7701893964415726,0.23253494336989566,0.25236457393545825,0.6773700645312795,0.7674085022997208,0.7701893964415726
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,13,13,MM,0.0009271999588236213,True,0.30921963160119204,-0.6901608432587079,1.0318304644738636,0.23055881632608477,0.2673993379273147,-0.19078036839880796,-0.6901608432587079,0.5318304644738636,-0.7694411836739152,-0.7326006620726853,0.19078036839880796,0.6901608432587079,0.5318304644738636,0.7694411836739152,0.7326006620726853
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,13,13,MLE,0.3678584999870509,True,0.2806409180977788,-0.7513932286827422,0.9873075215068458,0.2149483378501482,0.30411332405378055,-0.2193590819022212,-0.7513932286827422,0.48730752150684575,-0.7850516621498518,-0.6958866759462194,0.2193590819022212,0.7513932286827422,0.48730752150684575,0.7850516621498518,0.6958866759462194
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,14,14,MM,0.0013540999498218298,True,0.4886331545063455,-0.3731523000216831,1.2159018312699788,0.19053708690084745,0.17785346097174465,-0.01136684549365452,-0.3731523000216831,0.7159018312699788,-0.8094629130991525,-0.8221465390282554,0.01136684549365452,0.3731523000216831,0.7159018312699788,0.8094629130991525,0.8221465390282554
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,14,14,MLE,0.2981673999456689,True,0.5334032303842402,-0.27329923963093955,1.254222133124101,0.27687449193851055,0.18556800851909092,0.0334032303842402,-0.27329923963093955,0.754222133124101,-0.7231255080614895,-0.8144319914809091,0.0334032303842402,0.27329923963093955,0.754222133124101,0.7231255080614895,0.8144319914809091
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,15,15,MM,0.0013383000623434782,True,0.48892588489720284,-0.7238565084859667,1.044226519691306,0.31531577003244843,0.16466724190027707,-0.011074115102797155,-0.7238565084859667,0.5442265196913061,-0.6846842299675515,-0.835332758099723,0.011074115102797155,0.7238565084859667,0.5442265196913061,0.6846842299675515,0.835332758099723
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,15,15,MLE,0.3307420000201091,True,0.8183548829287336,-0.11110497036198942,1.4902038653491125,0.7794175589384477,0.0025422753419230963,0.3183548829287336,-0.11110497036198942,0.9902038653491125,-0.22058244106155234,-0.9974577246580769,0.3183548829287336,0.11110497036198942,0.9902038653491125,0.22058244106155234,0.9974577246580769
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,16,16,MM,0.0010239999974146485,True,0.16384918968107803,-1.0134540258274356,0.8068978623886859,0.21646558512567934,0.43162132177747703,-0.33615081031892197,-1.0134540258274356,0.3068978623886859,-0.7835344148743206,-0.568378678222523,0.33615081031892197,1.0134540258274356,0.3068978623886859,0.7835344148743206,0.568378678222523
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,16,16,MLE,0.6319187999470159,True,0.09805538713329594,-1.4194217362160129,0.718244356891424,0.007720865557530698,0.49388276063120334,-0.4019446128667041,-1.4194217362160129,0.21824435689142396,-0.9922791344424693,-0.5061172393687967,0.4019446128667041,1.4194217362160129,0.21824435689142396,0.9922791344424693,0.5061172393687967
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,17,17,MM,0.0007992000319063663,True,0.2953159851023614,-1.4481489758988573,0.15142804404929577,0.348475362966028,0.5189928696372369,-0.2046840148976386,-1.4481489758988573,-0.3485719559507042,-0.651524637033972,-0.4810071303627631,0.2046840148976386,1.4481489758988573,0.3485719559507042,0.651524637033972,0.4810071303627631
