n,delta_label,delta,p_label,p_true,ratio_label,variance_ratio,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,18,900000018,MLE,0.9493803998921067,True,0.357907188755977,0.2633826139036018,0.3872228416617573,0.25642516444481644,3.239385572795798,-0.142092811244023,0.2633826139036018,-0.22514959403403728,-0.7435748355551836,1.2393855727957974,0.142092811244023,0.2633826139036018,0.22514959403403728,0.7435748355551836,1.2393855727957974
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,16,900000016,MM,0.0019917000317946076,True,0.250124479282685,-0.8540996869676163,0.7954692093245384,0.7140591922778197,0.5903724470466974,-0.249875520717315,-0.8540996869676163,0.18309677362874377,-0.28594080772218033,-1.409627552953303,0.249875520717315,0.8540996869676163,0.18309677362874377,0.28594080772218033,1.409627552953303
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,16,900000016,MLE,1.386706699966453,True,0.10726281773573483,-1.6132768589551403,0.6227098868761727,0.26418670253972837,0.6996356217283732,-0.3927371822642652,-1.6132768589551403,0.010337451180378099,-0.7358132974602716,-1.3003643782716272,0.3927371822642652,1.6132768589551403,0.010337451180378099,0.7358132974602716,1.3003643782716272
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,17,900000017,MM,0.0018367000157013535,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,17,900000017,MLE,1.6676096000010148,True,0.8692269122532211,0.14342278845327047,2.095467118701186,0.9613591156063372,0.19487853903896094,0.36922691225322113,0.14342278845327047,1.4830946830053913,-0.038640884393662756,-1.8051214609610395,0.36922691225322113,0.14342278845327047,1.4830946830053913,0.038640884393662756,1.8051214609610395
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,21,900000021,MM,0.0018512000096961856,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,21,900000021,MLE,0.3049767999909818,True,0.33294639479699134,0.454052179604115,0.6462674703521394,0.03210376785140162,2.8720928787954962,-0.16705360520300866,0.454052179604115,0.0338950346563448,-0.9678962321485984,0.8720928787954958,0.16705360520300866,0.454052179604115,0.0338950346563448,0.9678962321485984,0.8720928787954958
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,19,900000019,MM,0.0019194999476894736,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,19,900000019,MLE,1.5449746999656782,True,0.9529023947183741,-0.2954659475567544,3.2621432735220357,1.333140896259249,0.12725767292199686,0.4529023947183741,-0.2954659475567544,2.649770837826241,0.33314089625924903,-1.8727423270780035,0.4529023947183741,0.2954659475567544,2.649770837826241,0.33314089625924903,1.8727423270780035
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,20,900000020,MM,0.0020244999323040247,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,20,900000020,MLE,1.158195500029251,True,0.10897807607132494,-1.6531636221022417,0.4517725427932153,0.026713604577643827,1.3711136075632295,-0.3910219239286751,-1.6531636221022417,-0.16059989290257926,-0.9732863954223562,-0.6288863924367709,0.3910219239286751,1.6531636221022417,0.16059989290257926,0.9732863954223562,0.6288863924367709
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,15,900000015,MM,0.0018986000213772058,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,15,900000015,MLE,2.3832193999551237,True,0.13497324388566403,0.36182834217465987,0.6378885285325931,0.0059950983692410925,2.053471999749461,-0.365026756114336,0.36182834217465987,0.025516092836798565,-0.9940049016307589,0.0534719997494606,0.365026756114336,0.36182834217465987,0.025516092836798565,0.9940049016307589,0.0534719997494606
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,14,900000014,MM,0.0019745000172406435,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,14,900000014,MLE,2.7610257000196725,True,0.2547578479394252,-0.0846123812503445,0.7481152151097376,0.10138032250821034,1.8411823482440217,-0.24524215206057481,-0.0846123812503445,0.13574277941394297,-0.8986196774917896,-0.15881765175597873,0.24524215206057481,0.0846123812503445,0.13574277941394297,0.8986196774917896,0.15881765175597873
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,26,900000026,MM,0.003220600076019764,True,0.6186320304850448,-0.5549043524143731,1.4600737838617963,0.6664309300523983,0.28935752352049937,0.11863203048504478,-0.5549043524143731,0.8477013481660017,-0.3335690699476017,-1.7106424764795012,0.11863203048504478,0.5549043524143731,0.8477013481660017,0.3335690699476017,1.7106424764795012
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,26,900000026,MLE,0.42011209996417165,True,0.7001618266350174,-0.4027245972873675,1.6526119811258948,0.77667720382921,0.16631942765627822,0.20016182663501736,-0.4027245972873675,1.0402395454301003,-0.22332279617078998,-1.8336805723437222,0.20016182663501736,0.4027245972873675,1.0402395454301003,0.22332279617078998,1.8336805723437222
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,24,900000024,MM,0.003127400064840913,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,24,900000024,MLE,0.963635400054045,True,0.9302836491199546,0.46177842000431674,1.539296574715279,0.9322595562818808,6.0933342355025815,0.43028364911995465,0.46177842000431674,0.9269241390194843,-0.06774044371811916,4.0933342355025815,0.43028364911995465,0.46177842000431674,0.9269241390194843,0.06774044371811916,4.0933342355025815
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,29,900000029,MM,0.0019075999734923244,True,0.7557732963154922,-0.2934289488284268,2.0650215442255755,0.8831744791082129,1.6641943807458348,0.25577329631549217,-0.2934289488284268,1.4526491085297808,-0.1168255208917871,-0.33580561925416563,0.25577329631549217,0.2934289488284268,1.4526491085297808,0.1168255208917871,0.33580561925416563
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,29,900000029,MLE,0.7475719000212848,True,0.9254977621956393,0.007508582818251668,3.699465578758358,1.2329918471691184,0.26345304172130585,0.4254977621956393,0.007508582818251668,3.0870931430625634,0.23299184716911836,-1.7365469582786945,0.4254977621956393,0.007508582818251668,3.0870931430625634,0.23299184716911836,1.7365469582786945
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,27,900000027,MM,0.0021129000233486295,True,0.9787183314263195,0.26793620893900244,3.0200627718584583,1.3237438889805766,0.6819691414809108,0.4787183314263195,0.26793620893900244,2.4076903361626636,0.3237438889805766,-1.3180308585190896,0.4787183314263195,0.26793620893900244,2.4076903361626636,0.3237438889805766,1.3180308585190896
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,27,900000027,MLE,2.276121500064619,True,0.2618883154480838,0.23477551669528277,0.3590528307501077,0.463004473796867,1.8203289354715169,-0.23811168455191623,0.23477551669528277,-0.2533196049456869,-0.536995526203133,-0.17967106452848358,0.23811168455191623,0.23477551669528277,0.2533196049456869,0.536995526203133,0.17967106452848358
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,30,900000030,MM,0.0031726000597700477,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,30,900000030,MLE,1.0972772999666631,True,0.38410832327899685,-0.5927580919492247,0.8903120072150523,0.4706906139091084,1.2923800201775424,-0.11589167672100315,-0.5927580919492247,0.27793957151925774,-0.5293093860908916,-0.7076199798224581,0.11589167672100315,0.5927580919492247,0.27793957151925774,0.5293093860908916,0.7076199798224581
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,28,900000028,MM,0.0019138000207021832,True,0.208077122082904,-1.0914530461953382,0.4737317465564766,0.7298420631670801,0.6093625861147306,-0.29192287791709604,-1.0914530461953382,-0.13864068913931799,-0.2701579368329199,-1.39063741388527,0.29192287791709604,1.0914530461953382,0.13864068913931799,0.2701579368329199,1.39063741388527
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,28,900000028,MLE,2.6077224999899045,True,0.08573691859199505,-1.8315896780488687,0.3336976639193598,0.31989403637783353,0.7034902932027202,-0.41426308140800494,-1.8315896780488687,-0.2786747717764348,-0.6801059636221665,-1.2965097067972802,0.41426308140800494,1.8315896780488687,0.2786747717764348,0.6801059636221665,1.2965097067972802
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,22,900000022,MM,0.0014454999472945929,True,0.6762370816862388,-0.3734385131000906,1.1725337168890808,0.7261404224078002,1.1447000314793432,0.17623708168623875,-0.3734385131000906,0.5601612811932862,-0.2738595775921998,-0.8552999685206573,0.17623708168623875,0.3734385131000906,0.5601612811932862,0.2738595775921998,0.8552999685206573
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,22,900000022,MLE,3.611647400073707,True,0.9159064919466495,-0.0760186756943741,2.3392527062386383,0.966279312761213,0.6016874220212357,0.4159064919466495,-0.0760186756943741,1.7268802705428437,-0.03372068723878696,-1.3983125779787646,0.4159064919466495,0.0760186756943741,1.7268802705428437,0.03372068723878696,1.3983125779787646
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,23,900000023,MM,0.0020813000155612826,True,0.22223000751790561,-0.5867541945338623,0.49016695877637134,0.6057188124236964,1.6487803190578667,-0.2777699924820944,-0.5867541945338623,-0.12220547691942324,-0.3942811875763036,-0.35121968094213374,0.2777699924820944,0.5867541945338623,0.12220547691942324,0.3942811875763036,0.35121968094213374
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,23,900000023,MLE,3.6620694000739604,True,0.9584207373361875,0.13188800839980427,2.992803444588424,1.3384277931974353,0.20423063274034217,0.4584207373361875,0.13188800839980427,2.3804310088926295,0.3384277931974353,-1.7957693672596582,0.4584207373361875,0.13188800839980427,2.3804310088926295,0.3384277931974353,1.7957693672596582
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,31,900000031,MM,0.0021636999445036054,False,,,,,,,,,,,,,,,
