scenario,n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,mu1_abs_error,mu2_abs_error
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,46,1050100046,MLE,1.1025411000009626,True,0.5328263419668933,-0.1270507712901152,2.8332284799478935,1.1517739560714266,1.2747527888701777,0.1270507712901152,0.1667715200521065
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,53,1050100053,MM,0.0009410000056959689,True,0.4316241467729833,0.02338339486927188,3.2563185710358344,0.6924252793770753,1.0224809382707734,0.02338339486927188,0.25631857103583444
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,53,1050100053,MLE,0.638108800019836,True,0.40548002496224017,-0.030831460569766572,3.1511257890587157,0.7048998103515302,1.2069285618818513,0.030831460569766572,0.15112578905871565
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,50,1050100050,MM,0.0009589999972376972,True,0.5473133751517362,-0.1751320601904911,2.839943201064166,0.5648964324943757,0.7493208517751593,0.1751320601904911,0.1600567989358339
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,50,1050100050,MLE,0.9310129999939818,True,0.5028878314264398,-0.22605543750559667,2.622009265996968,0.6203801666176352,1.1283579954787393,0.22605543750559667,0.3779907340030322
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,54,1050100054,MM,0.0020326999947428703,True,0.49598954897397857,-0.13693162420535931,2.848625548517652,1.656958485384781,0.5283238965624296,0.13693162420535931,0.15137445148234807
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,54,1050100054,MLE,0.5829415000043809,True,0.5966875694972775,0.24827355480985272,3.0241533777485836,2.1674850939758317,0.41830010835567166,0.24827355480985272,0.024153377748583615
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,52,1050100052,MM,0.0016909000114537776,True,0.5237653361489096,-0.1501264719762765,2.9816378737934945,0.9378683568266684,0.7301217679192771,0.1501264719762765,0.018362126206505458
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,52,1050100052,MLE,0.9188305999850854,True,0.5072947860128391,-0.1669162059369341,2.8942336086222777,0.9902756305005236,0.8947687002456826,0.1669162059369341,0.10576639137772226
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,55,1050100055,MM,0.00106229999801144,True,0.43731289219625874,-0.30068529313554215,2.7748873575646367,0.5569510486753219,1.1291345792051661,0.30068529313554215,0.22511264243536333
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,55,1050100055,MLE,0.7180679000157397,True,0.40245756718117426,-0.37701800470069785,2.6468974396034577,0.5248049112534868,1.3326256087973243,0.37701800470069785,0.3531025603965423
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,58,1050100058,MM,0.0017548000032547861,True,0.5432720950763381,0.2441199348424532,3.2522681514305174,1.5816364367230593,0.6764003803787844,0.2441199348424532,0.2522681514305174
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,58,1050100058,MLE,0.5423941999906674,True,0.459328973319473,-0.056291386460375445,3.0404466877887346,1.2117699220163003,0.8790926469945841,0.056291386460375445,0.040446687788734614
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,56,1050100056,MM,0.0019699000113178045,True,0.2321476896162517,-0.46023273268948905,2.337958166385227,0.36702435971226105,1.634855255570078,0.46023273268948905,0.6620418336147731
